wmo,regiao,uf,estacao,latitude,longitude,altitude,data_de_fundacao,source_file
A944,CO,MT,ROSARIO OESTE,"-14,82888888","-56,44194444",195,30/05/19,inmet_CO_MT_A944_ROSARIO-OESTE_01-01-2024_A_31-12-2024_dados.csv
A303,NE,AL,MACEIO,"-9,55111111","-35,77027777","84,12",25/02/03,inmet_NE_AL_A303_MACEIO_01-01-2024_A_31-12-2024_dados.csv
A323,NE,AL,PAO DE ACUCAR,"-9,74916666","-37,43083332","20,83",14/07/07,inmet_NE_AL_A323_PAO-DE-ACUCAR_01-01-2024_A_31-12-2024_dados.csv
A327,NE,AL,PALMEIRA DOS INDIOS,"-9,42027777","-36,62027777","278,01",11/07/07,inmet_NE_AL_A327_PALMEIRA-DOS-INDIOS_01-01-2024_A_31-12-2024_dados.csv
A353,NE,AL,ARAPIRACA,"-9,80444444","-36,61916666","236,84",27/04/08,inmet_NE_AL_A353_ARAPIRACA_01-01-2024_A_31-12-2024_dados.csv
A355,NE,AL,CORURIPE,"-10,1286111","-36,28638888","82,39",06/09/08,inmet_NE_AL_A355_CORURIPE_01-01-2024_A_31-12-2024_dados.csv
A371,NE,AL,PIRANHAS,"-9,62222221","-37,76722221",187,20/09/17,inmet_NE_AL_A371_PIRANHAS_01-01-2024_A_31-12-2024_dados.csv
A401,NE,BA,SALVADOR,"-13,005515","-38,50576","47,56",13/05/00,inmet_NE_BA_A401_SALVADOR_01-01-2024_A_31-12-2024_dados.csv
A402,NE,BA,BARREIRAS,"-12,12472221","-45,02694443","474,17",20/12/01,inmet_NE_BA_A402_BARREIRAS_01-01-2024_A_31-12-2024_dados.csv
A404,NE,BA,LUIZ EDUARDO MAGALHAES,"-12,1525","-45,82972221","760,68",18/04/02,inmet_NE_BA_A404_LUIZ-EDUARDO-MAGALHAES_01-01-2024_A_31-12-2024_dados.csv
A405,NE,BA,CARAVELAS,"-17,73944444","-39,25861111","6,05",20/12/02,inmet_NE_BA_A405_CARAVELAS_01-01-2024_A_31-12-2024_dados.csv
A406,NE,BA,CRUZ DAS ALMAS,"-12,67555554","-39,08944444","219,76",19/01/03,inmet_NE_BA_A406_CRUZ-DAS-ALMAS_01-01-2024_A_31-12-2024_dados.csv
A407,NE,BA,ITIRUCU,"-13,52777777","-40,11972221","757,42",09/02/03,inmet_NE_BA_A407_ITIRUCU_01-01-2024_A_31-12-2024_dados.csv
A408,NE,BA,ITABERABA,"-12,52416666","-40,29972221","250,11",29/01/03,inmet_NE_BA_A408_ITABERABA_01-01-2024_A_31-12-2024_dados.csv
A410,NE,BA,ILHEUS,"-14,65888888","-39,18138888","80,21",25/01/03,inmet_NE_BA_A410_ILHEUS_01-01-2024_A_31-12-2024_dados.csv
A413,NE,BA,FEIRA DE SANTANA,"-12,1961111","-38,96749999","229,64",26/05/07,inmet_NE_BA_A413_FEIRA-DE-SANTANA_01-01-2024_A_31-12-2024_dados.csv
A414,NE,BA,VITORIA DA CONQUISTA,"-14,88638888","-40,80138888","879,38",01/06/07,inmet_NE_BA_A414_VITORIA-DA-CONQUISTA_01-01-2024_A_31-12-2024_dados.csv
A416,NE,BA,CORRENTINA,"-13,33249999","-44,61749999","551,71",09/11/07,inmet_NE_BA_A416_CORRENTINA_01-01-2024_A_31-12-2024_dados.csv
A418,NE,BA,BOM JESUS DA LAPA,"-13,25111111","-43,40527777","447,75",18/05/07,inmet_NE_BA_A418_BOM-JESUS-DA-LAPA_01-01-2024_A_31-12-2024_dados.csv
A425,NE,BA,LENCOIS,"-12,55777777","-41,38888888","438,09",05/04/08,inmet_NE_BA_A425_LENCOIS_01-01-2024_A_31-12-2024_dados.csv
A428,NE,BA,SENHOR DO BONFIM,"-10,44305555","-40,14833333","532,09",27/03/08,inmet_NE_BA_A428_SENHOR-DO-BONFIM_01-01-2024_A_31-12-2024_dados.csv
A430,NE,BA,PIATA,"-13,15555555","-41,77416666","1283,95",03/05/08,inmet_NE_BA_A430_PIATA_01-01-2024_A_31-12-2024_dados.csv
A431,NE,BA,CONDE,"-12,03583333","-37,68388888","31,9",07/04/08,inmet_NE_BA_A431_CONDE_01-01-2024_A_31-12-2024_dados.csv
A434,NE,BA,AMARGOSA,"-13,00944444","-39,61694443","397,8",11/07/08,inmet_NE_BA_A434_AMARGOSA_01-01-2024_A_31-12-2024_dados.csv
A439,NE,BA,IBOTIRAMA,"-12,19305555","-43,21333333","425,12",28/04/08,inmet_NE_BA_A439_IBOTIRAMA_01-01-2024_A_31-12-2024_dados.csv
A441,NE,BA,SERRINHA,"-11,66472222","-39,02305554","337,79",09/05/08,inmet_NE_BA_A441_SERRINHA_01-01-2024_A_31-12-2024_dados.csv
A442,NE,BA,EUCLIDES DA CUNHA,"-10,53722221","-38,99666666","431,96",31/03/08,inmet_NE_BA_A442_EUCLIDES-DA-CUNHA_01-01-2024_A_31-12-2024_dados.csv
A445,NE,BA,IPIAU,"-14,17138888","-39,69249999","132,11",30/06/09,inmet_NE_BA_A445_IPIAU_01-01-2024_A_31-12-2024_dados.csv
A446,NE,BA,ITAPETINGA,"-15,24472221","-40,22944443","271,48",25/06/09,inmet_NE_BA_A446_ITAPETINGA_01-01-2024_A_31-12-2024_dados.csv
A447,NE,BA,BELMONTE,"-16,08805555","-39,21527777","89,67",02/07/09,inmet_NE_BA_A447_BELMONTE_01-01-2024_A_31-12-2024_dados.csv
A448,NE,BA,CURACA,"-9,00138888","-39,9125",370,20/08/15,inmet_NE_BA_A448_CURACA_01-01-2024_A_31-12-2024_dados.csv
A450,NE,BA,JEREMOABO,"-10,08083332","-38,34583333",261,13/08/15,inmet_NE_BA_A450_JEREMOABO_01-01-2024_A_31-12-2024_dados.csv
A452,NE,BA,FORMOSA DO RIO PRETO,"-11,05222222","-45,20083333",488,02/06/16,inmet_NE_BA_A452_FORMOSA-DO-RIO-PRETO_01-01-2024_A_31-12-2024_dados.csv
A455,NE,BA,ITAMARAJU,"-17,00694444","-39,55805555",110,28/05/16,inmet_NE_BA_A455_ITAMARAJU_01-01-2024_A_31-12-2024_dados.csv
A456,NE,BA,SALVADOR (RADIO FAROL),"-12,80833333","-38,49583333",31,10/03/18,inmet_NE_BA_A456_SALVADOR-(RADIO-FAROL)_01-01-2024_A_31-12-2024_dados.csv
A458,NE,BA,RIBEIRA DO AMPARO,"-11,05861111","-38,44416666",182,20/09/18,inmet_NE_BA_A458_RIBEIRA-DO-AMPARO_01-01-2024_A_31-12-2024_dados.csv
A305,NE,CE,FORTALEZA,"-3,81583333","-38,53777777","29,55",18/02/03,inmet_NE_CE_A305_FORTALEZA_01-01-2024_A_31-12-2024_dados.csv
A306,NE,CE,SOBRAL,"-3,74805555","-40,34583333","92,07",12/02/03,inmet_NE_CE_A306_SOBRAL_01-01-2024_A_31-12-2024_dados.csv
A319,NE,CE,IGUATU,"-6,39638888","-39,26888888","221,56",30/05/07,inmet_NE_CE_A319_IGUATU_01-01-2024_A_31-12-2024_dados.csv
A325,NE,CE,QUIXERAMOBIM,"-5,17444443","-39,28944444","221,04",09/07/07,inmet_NE_CE_A325_QUIXERAMOBIM_01-01-2024_A_31-12-2024_dados.csv
A332,NE,CE,MORADA NOVA,"-5,0911111","-38,36472222",93,24/08/07,inmet_NE_CE_A332_MORADA-NOVA_01-01-2024_A_31-12-2024_dados.csv
A342,NE,CE,CRATEUS,"-5,18666666","-40,67222221","298,19",11/12/08,inmet_NE_CE_A342_CRATEUS_01-01-2024_A_31-12-2024_dados.csv
A360,NE,CE,ACARAU,"-3,1211111","-40,08722221","67,15",22/04/09,inmet_NE_CE_A360_ACARAU_01-01-2024_A_31-12-2024_dados.csv
A368,NE,CE,TIANGUA,"-3,73222221","-41,01194444",756,15/03/18,inmet_NE_CE_A368_TIANGUA_01-01-2024_A_31-12-2024_dados.csv
A369,NE,CE,QUIXADA,"-4,97888888","-39,05722222",193,20/03/18,inmet_NE_CE_A369_QUIXADA_01-01-2024_A_31-12-2024_dados.csv
A203,NE,MA,SAO LUIS,"-2,52666666","-44,21361111","54,8",29/01/03,inmet_NE_MA_A203_SAO-LUIS_01-01-2024_A_31-12-2024_dados.csv
A204,NE,MA,BALSAS,"-7,45555555","-46,02749999","271,03",26/10/07,inmet_NE_MA_A204_BALSAS_01-01-2024_A_31-12-2024_dados.csv
A205,NE,MA,CAROLINA,"-7,33722221","-47,45972222","182,88",04/12/07,inmet_NE_MA_A205_CAROLINA_01-01-2024_A_31-12-2024_dados.csv
A206,NE,MA,CHAPADINHA,"-3,74277777","-43,35222222",104,17/09/08,inmet_NE_MA_A206_CHAPADINHA_01-01-2024_A_31-12-2024_dados.csv
A207,NE,MA,GRAJAU,"-5,81611111","-46,16222222","232,29",10/09/08,inmet_NE_MA_A207_GRAJAU_01-01-2024_A_31-12-2024_dados.csv
A218,NE,MA,PREGUICAS,"-2,59222221","-42,7075","4,62",22/11/08,inmet_NE_MA_A218_PREGUICAS_01-01-2024_A_31-12-2024_dados.csv
A219,NE,MA,TURIACU,"-1,66111111","-45,37249999","35,86",10/06/08,inmet_NE_MA_A219_TURIACU_01-01-2024_A_31-12-2024_dados.csv
A220,NE,MA,BACABAL,"-4,24305555","-44,79499999","22,33",09/07/08,inmet_NE_MA_A220_BACABAL_01-01-2024_A_31-12-2024_dados.csv
A223,NE,MA,ALTO PARNAIBA,"-9,10833333","-45,93194443","283,69",03/06/08,inmet_NE_MA_A223_ALTO-PARNAIBA_01-01-2024_A_31-12-2024_dados.csv
A225,NE,MA,IMPERATRIZ,"-5,55583333","-47,45972222","117,96",01/03/08,inmet_NE_MA_A225_IMPERATRIZ_01-01-2024_A_31-12-2024_dados.csv
A237,NE,MA,CAXIAS,"-4,82138888","-43,3436111","84,85",13/07/08,inmet_NE_MA_A237_CAXIAS_01-01-2024_A_31-12-2024_dados.csv
A238,NE,MA,BURITICUPU,"-4,32055554","-46,44944444","174,91",11/09/08,inmet_NE_MA_A238_BURITICUPU_01-01-2024_A_31-12-2024_dados.csv
A255,NE,MA,ZE DOCA,"-3,26916666","-45,65111111","45,5",18/09/19,inmet_NE_MA_A255_ZE-DOCA_01-01-2024_A_31-12-2024_dados.csv
A310,NE,PB,AREIA,"-6,975451","-35,718128","573,45",16/11/04,inmet_NE_PB_A310_AREIA_01-01-2024_A_31-12-2024_dados.csv
A313,NE,PB,CAMPINA GRANDE,"-7,22555554","-35,90472222","546,17",22/12/06,inmet_NE_PB_A313_CAMPINA-GRANDE_01-01-2024_A_31-12-2024_dados.csv
A320,NE,PB,JOAO PESSOA,"-7,16527777","-34,81555555","33,5",21/07/07,inmet_NE_PB_A320_JOAO-PESSOA_01-01-2024_A_31-12-2024_dados.csv
A321,NE,PB,PATOS,"-7,07972221","-37,27277777","263,66",21/07/07,inmet_NE_PB_A321_PATOS_01-01-2024_A_31-12-2024_dados.csv
A333,NE,PB,SAO GONCALO,"-6,835777","-38,311583","237,04",06/11/07,inmet_NE_PB_A333_SAO-GONCALO_01-01-2024_A_31-12-2024_dados.csv
A334,NE,PB,MONTEIRO,"-7,89444444","-37,12472221","606,39",22/08/07,inmet_NE_PB_A334_MONTEIRO_01-01-2024_A_31-12-2024_dados.csv
A348,NE,PB,CABACEIRAS,"-7,48333333","-36,28638888","391,96",28/02/08,inmet_NE_PB_A348_CABACEIRAS_01-01-2024_A_31-12-2024_dados.csv
A352,NE,PB,CAMARATUBA,"-6,56194444","-35,13527777","135,51",04/05/08,inmet_NE_PB_A352_CAMARATUBA_01-01-2024_A_31-12-2024_dados.csv
A373,NE,PB,ITAPORANGA,"-7,31833332","-38,14083333",292,03/11/17,inmet_NE_PB_A373_ITAPORANGA_01-01-2024_A_31-12-2024_dados.csv
A307,NE,PE,PETROLINA,"-9,38833333","-40,52333332","372,72",21/02/03,inmet_NE_PE_A307_PETROLINA_01-01-2024_A_31-12-2024_dados.csv
